Contig	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_10_length_1110_cov_3.001936_MEMO042|full	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Lupinus	Lupinus albus
NODE_10_length_1132_cov_3.269194_NEMO54|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_10_length_1137_cov_3.325472_MEMO142|full	Eukaryota	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora larici-populina
NODE_10_length_1180_cov_1.737081_NEMO29|full	Eukaryota	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_10_length_12109_cov_15.268451_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_10_length_1333_cov_2.118631_MEMO009-NC|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans
NODE_10_length_1455_cov_2.064586_MEMO017|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia rhapontici
NODE_10_length_1514_cov_12.312457_MEMO071|10-percent	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_10_length_1571_cov_17.194110_MEMO023|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	unclassified	unclassified
NODE_10_length_15891_cov_21.267674_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_10_length_1679_cov_3.112984_MEMO046-NC|full	Bacteria	Cyanobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_10_length_1706_cov_1.919583_MEMO056|full	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Zymobacter	Zymobacter palmae
NODE_10_length_1865_cov_5.476510_NEMO-NC4|full	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	unclassified	unclassified	Sphingobacteriales bacterium
NODE_10_length_1897_cov_6.612088_MEMO076-NC|full	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_10_length_1931_cov_4.988134_MEMO118|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_10_length_2005_cov_2400.651971_NEMO25|full	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.
NODE_10_length_2088_cov_10.035306_NEMO-NC1|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_10_length_2152_cov_5.302169_MEMO010|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia pipientis
NODE_10_length_2154_cov_62.412614_MEMO117|full	Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus
NODE_10_length_2281_cov_12.925136_MEMO043|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_10_length_2642_cov_133.627680_NEMO36|full	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Thelebolus microsporus totivirus 1
NODE_10_length_2743_cov_3.479370_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_10_length_2805_cov_8.031891_NEMO-NC2|full	Bacteria	Actinobacteria	Actinomycetia	unclassified	unclassified	unclassified	unclassified
NODE_10_length_2980_cov_5.756459_MEMO011|full	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus delemar
NODE_10_length_3114_cov_9.795851_MEMO141|full	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	unclassified	unclassified
NODE_10_length_3200_cov_16.662184_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii
NODE_10_length_3701_cov_7.725166_MEMO111|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_10_length_4782_cov_34.595749_MEMO031|full	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Nudiviridae sp.
NODE_10_length_4911_cov_6.656185_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_100_length_1039_cov_1.498960_NEMO-NC4|full	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_100_length_1148_cov_4.237162_NEMO-NC1|full	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum
NODE_100_length_1291_cov_10.154036_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_100_length_1340_cov_2.834521_MEMO116|full	Eukaryota	Arthropoda	Insecta	unclassified	unclassified	unclassified	unclassified
NODE_100_length_1435_cov_5.917526_NEMO-NC2|full	Bacteria	Candidatus Zambryskibacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_43_25
NODE_100_length_1453_cov_4.136628_MEMO111|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_100_length_1457_cov_2.248551_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_100_length_1646_cov_2.236456_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_100_length_1753_cov_3.954057_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola
NODE_100_length_2005_cov_13.109959_MEMO128|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_100_length_2013_cov_7.327479_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified	unclassified	unclassified
NODE_100_length_4621_cov_10.341549_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_101_length_1010_cov_4.251876_MEMO011|full	Eukaryota	Chordata	Actinopteri	unclassified	Ambassidae	Parambassis	Parambassis ranga
NODE_101_length_1015_cov_3.827292_MEMO025|full	Eukaryota	Ciliophora	Oligohymenophorea	Hymenostomatida	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila
NODE_101_length_1038_cov_1.793965_NEMO-NC4|full	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
NODE_101_length_1129_cov_9.473384_NEMO31|full	Eukaryota	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	unclassified
NODE_101_length_1173_cov_2.684307_MEMO076-NC|full	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_101_length_1206_cov_27.850310_MEMO031|full	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Nudiviridae sp.
NODE_101_length_1271_cov_3.730318_MEMO141|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_101_length_1285_cov_17.030629_MEMO115|full	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Aedes orthophasmavirus sp.
NODE_101_length_1432_cov_2.525461_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_101_length_1434_cov_6.175387_NEMO-NC2|full	Bacteria	Candidatus Vogelbacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Vogelbacteria bacterium
NODE_101_length_1450_cov_4.290605_MEMO111|full	Eukaryota	Arthropoda	Hexanauplia	Siphonostomatoida	Caligidae	Caligus	Caligus rogercresseyi
NODE_101_length_1452_cov_4.785455_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_101_length_1752_cov_5.760000_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_101_length_2002_cov_5.277922_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii
NODE_101_length_4614_cov_62.501433_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_101_length_4761_cov_24.433177_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_102_length_1015_cov_1.487207_MEMO025|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_102_length_1037_cov_2.064583_NEMO-NC4|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_102_length_1072_cov_6.955779_NEMO36|full	Eukaryota	Streptophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Thalictrum	Thalictrum thalictroides
NODE_102_length_1139_cov_6.189266_NEMO-NC1|full	Bacteria	Candidatus Doudnabacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Doudnabacteria bacterium
NODE_102_length_1161_cov_6.091328_MEMO076-NC|full	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloprofundus	Methyloprofundus sp.
NODE_102_length_1433_cov_7.283186_NEMO-NC2|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_102_length_1450_cov_2.473416_NEMO-NC3|full	Bacteria	Candidatus Taylorbacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Taylorbacteria bacterium
NODE_102_length_1750_cov_3.142259_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_102_length_1997_cov_5.534375_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_102_length_2499_cov_4.653592_MEMO050|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_102_length_4469_cov_8.242942_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex molestus
NODE_102_length_4644_cov_23.026275_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_103_length_1003_cov_4.679266_MEMO011|full	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora muscae
NODE_103_length_1126_cov_11.371783_NEMO31|full	Eukaryota	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_103_length_1159_cov_2.426063_MEMO076-NC|full	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Prokaryotic dsDNA virus sp.
NODE_103_length_1326_cov_3.724875_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_103_length_1432_cov_31.160148_NEMO-NC2|full	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
NODE_103_length_1449_cov_3.145044_NEMO-NC3|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_103_length_1627_cov_3.227097_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_103_length_1747_cov_3.169461_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_103_length_1808_cov_21.402080_NEMO33|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_103_length_4468_cov_12.502619_MEMO129|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Onchocerca	Onchocerca ochengi
NODE_103_length_4539_cov_19.080681_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex molestus
NODE_104_length_1032_cov_7.996859_NEMO-NC4|full	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 51
NODE_104_length_1126_cov_2.928503_NEMO31|full	Eukaryota	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_104_length_1138_cov_2.068803_NEMO-NC1|full	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_104_length_1157_cov_4.436111_MEMO076-NC|full	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea	Hydrotalea flava
NODE_104_length_1254_cov_4.310960_MEMO141|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_104_length_1415_cov_1.886398_NEMO-NC2|full	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionimicrobium	Propionimicrobium lymphophilum
NODE_104_length_1417_cov_4.065672_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Diopsidae	Teleopsis	Teleopsis dalmanni
NODE_104_length_1445_cov_1.924708_MEMO111|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_104_length_1447_cov_4.994891_NEMO-NC3|full	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_104_length_1744_cov_3.304139_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_104_length_1987_cov_2.655497_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_104_length_4412_cov_11.133103_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_104_length_4514_cov_40.041019_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_105_length_1114_cov_3.426230_NEMO31|full	Eukaryota	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_105_length_1132_cov_4.022749_NEMO-NC1|full	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Bacteroidetes bacterium
NODE_105_length_1152_cov_5.114419_MEMO076-NC|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_105_length_1322_cov_3.522088_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	unclassified
NODE_105_length_1360_cov_2.853468_MEMO149|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea ananatis
NODE_105_length_1411_cov_3.829085_NEMO-NC2|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_105_length_1440_cov_7.263390_MEMO111|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia timori
NODE_105_length_1447_cov_2.529197_NEMO-NC3|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_105_length_1743_cov_4.794118_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified
NODE_105_length_1985_cov_4.796646_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_105_length_4468_cov_52.280574_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_106_length_1026_cov_2.749210_NEMO-NC4|full	Bacteria	Cyanobacteria	unclassified	unclassified	unclassified	unclassified	Cyanobacteria bacterium WB6_1B_304
NODE_106_length_1056_cov_2.264556_NEMO36|full	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora muscae
NODE_106_length_1127_cov_3.976190_NEMO-NC1|full	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Bacteroidetes bacterium
NODE_106_length_1150_cov_2.630941_MEMO076-NC|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_106_length_1164_cov_11.001840_MEMO031|full	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Nudiviridae sp.
NODE_106_length_1197_cov_4.529464_MEMO141|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_106_length_1264_cov_5.621735_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_106_length_1323_cov_5.585072_MEMO133|full	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	unclassified	unclassified	unclassified
NODE_106_length_1409_cov_4.563063_NEMO-NC2|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_106_length_1439_cov_3.434655_MEMO111|full	Viruses	unclassified	unclassified	unclassified	Orthomyxo-like	unclassified	Aedes alboannulatus orthomyxo-like virus
NODE_106_length_1440_cov_2.805576_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_106_length_1595_cov_2.417655_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_106_length_1740_cov_4.321106_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_106_length_1983_cov_7.606506_MEMO048|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia humisilvae
NODE_106_length_2358_cov_2.211311_MEMO071|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia persicina
