Contig	taxID	Avg. % identity
NODE_1004_length_530_cov_1.198675_MEMO149|full	553	99
NODE_1004_length_532_cov_0.980220_MEMO102|full	43817	60.25
NODE_1004_length_538_cov_1.260304_NEMO31|full	747089	559.571.428.571.429
NODE_1004_length_543_cov_4.317597_MEMO023|full	7176	57.1
NODE_1004_length_581_cov_0.878968_NEMO-NC4|full	1797475	37.5
NODE_1004_length_583_cov_1.760870_MEMO128|full	7176	75.5
NODE_1004_length_679_cov_1.700997_MEMO113|full	27457	57.5
NODE_1004_length_776_cov_5.570815_NEMO-NC2|full	1783273	437.695.652.173.913
NODE_1004_length_797_cov_3.783333_MEMO033|full	7092	55.5
NODE_1004_length_805_cov_2.561813_MEMO048|full	1903409	997.666.666.666.667
NODE_1005_length_531_cov_1.504405_MEMO102|full	7160	75
NODE_1005_length_538_cov_1.054230_NEMO31|full	131567	460.458.333.333.333
NODE_1005_length_569_cov_4.955285_MEMO025|full	312017	55.5
NODE_1005_length_607_cov_1.494340_MEMO050|full	68334	98
NODE_1005_length_628_cov_2.121597_MEMO115|full	7160	72
NODE_1005_length_668_cov_0.583756_MEMO116|full	7160	77.6
NODE_1005_length_679_cov_1.468439_MEMO113|full	7160	68.7
NODE_1005_length_700_cov_0.706260_MEMO111|full	42434	61.1
NODE_1005_length_776_cov_4.274678_NEMO-NC2|full	1801977	26.9
NODE_1005_length_790_cov_0.806452_MEMO112|full	7160	39.3
NODE_1005_length_805_cov_1.715659_MEMO048|full	1903409	99.58
NODE_1005_length_841_cov_1.875654_NEMO-NC3|full	379347	37.9
NODE_1006_length_523_cov_0.961883_MEMO054|full	33392	803.333.333.333.333
NODE_1006_length_523_cov_1.170404_NEMO53|full	7160	32.9
NODE_1006_length_538_cov_1.249458_MEMO009-NC|full	1802299	59
NODE_1006_length_543_cov_1.740343_MEMO023|full	42434	62.2
NODE_1006_length_569_cov_4.376016_MEMO025|full	312017	31.2
NODE_1006_length_582_cov_4.235644_MEMO128|full	91347	948.666.666.666.667
NODE_1006_length_588_cov_1.780822_NEMO32|full	46969	32.7
NODE_1006_length_601_cov_0.893130_NEMO-NC1|full	286	97.82
NODE_1006_length_628_cov_1.940109_MEMO115|full	7159	44
NODE_1006_length_653_cov_1.967014_MEMO076-NC|full	1618432	71.1
NODE_1006_length_699_cov_2.242765_MEMO111|full	42155	68.7
NODE_1006_length_796_cov_1.860918_MEMO033|full	551	97
NODE_1006_length_841_cov_1.757853_NEMO-NC3|full	543	99.92
NODE_1007_length_523_cov_0.910314_MEMO054|full	518105	98.8
NODE_1007_length_531_cov_1.308370_MEMO102|full	518105	49.02
NODE_1007_length_538_cov_0.861171_MEMO009-NC|full	1	61.8
NODE_1007_length_538_cov_0.950108_NEMO31|full	34485	78.1
NODE_1007_length_554_cov_1.241090_NEMO03|full	33154	50.9
NODE_1007_length_569_cov_4.201220_MEMO025|full	2759	415.571.428.571.429
NODE_1007_length_584_cov_0.891519_NEMO16|full	518105	660.333.333.333.333
NODE_1007_length_600_cov_5.579350_NEMO-NC1|full	1891238	49
NODE_1007_length_606_cov_2.081285_MEMO050|full	91347	867.777.777.777.778
NODE_1007_length_653_cov_1.682292_MEMO076-NC|full	208224	100
NODE_1007_length_679_cov_1.076412_MEMO113|full	518105	534.833.333.333.333
NODE_1007_length_776_cov_3.546495_NEMO-NC2|full	59288	59.9
NODE_1007_length_789_cov_2.323034_MEMO112|full	518105	435.666.666.666.667
NODE_1007_length_795_cov_2.871866_MEMO033|full	1903409	99.275
NODE_1007_length_804_cov_5.789546_MEMO048|full	91347	99.088
NODE_1008_length_528_cov_1.831486_MEMO149|full	53335	998.384.615.384.615
NODE_1008_length_531_cov_1.052863_MEMO102|full	7160	76.6
NODE_1008_length_543_cov_1.645923_MEMO023|full	7176	53.2
NODE_1008_length_600_cov_3.342256_NEMO-NC1|full	196806	490.666.666.666.667
NODE_1008_length_605_cov_6.234848_MEMO050|full	613	88.3
NODE_1008_length_667_cov_2.544068_MEMO116|full	518105	681.272.727.272.727
NODE_1008_length_776_cov_3.414878_NEMO-NC2|full	1313	97
NODE_1008_length_794_cov_6.278940_MEMO033|full	1903409	97.6
NODE_1009_length_519_cov_2.429864_MEMO085|full	7176	81.5
NODE_1009_length_528_cov_1.439024_MEMO149|full	553	61.7
NODE_1009_length_537_cov_2.258696_MEMO009-NC|full	80865	97.75
NODE_1009_length_543_cov_1.381974_MEMO023|full	518105	60.8
NODE_1009_length_559_cov_1.775934_MEMO046-NC|full	131567	98.85
NODE_1009_length_580_cov_1.536779_NEMO-NC4|full	1	50
NODE_1009_length_667_cov_1.832203_MEMO116|full	7160	59.1
NODE_1009_length_775_cov_1.915473_NEMO-NC2|full	2607653	52.9
NODE_1009_length_788_cov_9.908579_MEMO112|full	7176	52
NODE_1009_length_794_cov_2.596932_MEMO033|full	68334	95
NODE_1009_length_840_cov_2.764089_NEMO-NC3|full	562	99.576
NODE_100_length_1039_cov_1.498960_NEMO-NC4|full	1224	449.888.888.888.889
NODE_100_length_1148_cov_4.237162_NEMO-NC1|full	96345	43.8
NODE_100_length_1291_cov_10.154036_MEMO115|full	7160	51.5
NODE_100_length_1340_cov_2.834521_MEMO116|full	33392	41.5
NODE_100_length_1435_cov_5.917526_NEMO-NC2|full	1802734	37.2
NODE_100_length_1453_cov_4.136628_MEMO111|full	7159	46.4
NODE_100_length_1457_cov_2.248551_NEMO-NC3|full	543	99.8
NODE_100_length_1646_cov_2.236456_MEMO112|full	518105	567.833.333.333.333
NODE_100_length_1753_cov_3.954057_MEMO033|full	68334	98.2
NODE_100_length_2005_cov_13.109959_MEMO128|full	569881	100
NODE_100_length_2013_cov_7.327479_MEMO048|full	91347	990.090.909.090.909
NODE_100_length_4621_cov_10.341549_MEMO129|full	953	996.666.666.666.667
NODE_100_length_518_cov_0.963719_MEMO011|10-percent	33154	423.458.333.333.333
NODE_100_length_519_cov_0.644796_MEMO136|full	7176	60.5
NODE_100_length_538_cov_1.151844_MEMO063|full	7176	100
NODE_100_length_580_cov_1.502982_MEMO006|full	7176	60.2
NODE_100_length_588_cov_3.645793_MEMO122|full	7176	79.55
NODE_100_length_599_cov_0.955939_MEMO080|full	7176	82.9
NODE_100_length_681_cov_29.932119_MEMO042|full	7176	51.9
NODE_100_length_700_cov_1.033708_MEMO056|full	33074	69.85
NODE_100_length_715_cov_1.799373_MEMO029|full	42434	58.9
NODE_100_length_753_cov_1.633136_MEMO043|full	7176	30.9
NODE_100_length_760_cov_1.521230_NEMO46|full	42434	98.7
NODE_100_length_862_cov_3.183439_MEMO023|full	518105	53.5
NODE_100_length_873_cov_1.913317_MEMO009-NC|full	2826938	99.175
NODE_100_length_875_cov_2.662907_NEMO15|full	7157	100
NODE_100_length_882_cov_2.827329_NEMO53|full	42434	98.9
NODE_100_length_904_cov_1.471584_MEMO105|full	7176	95.2
NODE_100_length_945_cov_4.633641_MEMO046-NC|full	1794811	58.5
NODE_1010_length_516_cov_1.954442_NEMO21|full	518105	99.1
NODE_1010_length_528_cov_1.019956_MEMO149|full	553	985.666.666.666.667
NODE_1010_length_537_cov_2.000000_MEMO009-NC|full	38304	98.2
NODE_1010_length_543_cov_0.948498_MEMO023|full	1206794	34.725
NODE_1010_length_553_cov_1.901261_NEMO03|full	42434	67.4
NODE_1010_length_580_cov_1.664016_MEMO128|full	158483	98.65
NODE_1010_length_628_cov_0.508167_MEMO115|full	42434	51.5
NODE_1010_length_667_cov_1.484746_MEMO116|full	7160	82.8
NODE_1010_length_775_cov_1.256447_NEMO-NC2|full	2017204	44.6
NODE_1010_length_794_cov_1.785216_MEMO033|full	1903409	99.1
NODE_1010_length_804_cov_2.224209_MEMO048|full	131567	99.3
NODE_1010_length_840_cov_1.871560_NEMO-NC3|full	543	100
NODE_1011_length_508_cov_1.102088_MEMO118|full	7159	36.9
NODE_1011_length_521_cov_1.873874_MEMO054|full	33213	383.769.230.769.231
NODE_1011_length_537_cov_1.921739_MEMO009-NC|full	2762819	26.5
NODE_1011_length_559_cov_1.269710_MEMO046-NC|full	1906665	57.1
NODE_1011_length_569_cov_1.646341_MEMO025|full	312017	65.8
NODE_1011_length_600_cov_2.699809_NEMO-NC1|full	1868281	76.1
NODE_1011_length_652_cov_2.514783_MEMO076-NC|full	2	39.8
NODE_1011_length_667_cov_0.845763_MEMO116|full	43817	61.52
NODE_1011_length_678_cov_1.875208_MEMO113|full	7147	46.625
NODE_1011_length_698_cov_1.378422_MEMO111|full	38358	63.8
NODE_1011_length_774_cov_2.071736_NEMO-NC2|full	85023	52.66
NODE_1011_length_794_cov_1.284519_MEMO033|full	91347	91.05
NODE_1011_length_803_cov_3.495868_MEMO048|full	91347	94.896
NODE_1012_length_513_cov_0.665138_MEMO134|full	7176	100
NODE_1012_length_528_cov_1.248337_MEMO071|full	7176	81.5
NODE_1012_length_530_cov_1.589404_MEMO102|full	33392	384.285.714.285.714
NODE_1012_length_537_cov_1.515217_MEMO009-NC|full	29430	99.7
NODE_1012_length_542_cov_3.505376_MEMO023|full	33340	728.782.608.695.652
NODE_1012_length_559_cov_1.226141_MEMO046-NC|full	2100421	56
NODE_1012_length_604_cov_2.743833_MEMO050|full	1236	51.7
NODE_1012_length_627_cov_6.414545_MEMO115|full	7160	64.9
NODE_1012_length_667_cov_0.786441_MEMO116|full	33392	510.294.117.647.059
NODE_1012_length_774_cov_0.901004_NEMO-NC2|full	1760	67.8
NODE_1012_length_788_cov_1.856540_MEMO112|full	30069	83.4
NODE_1012_length_793_cov_4.353352_MEMO033|full	543	66.775
NODE_1012_length_803_cov_2.595041_MEMO048|full	1903409	99.75
NODE_1012_length_840_cov_1.070773_NEMO-NC3|full	543	99.44
NODE_1013_length_518_cov_1.077098_MEMO085|full	253	86.7
NODE_1013_length_530_cov_1.551876_MEMO102|full	7160	60.4
NODE_1013_length_552_cov_0.831579_NEMO03|full	518105	94.45
NODE_1013_length_568_cov_5.558045_MEMO025|full	312017	63.5
NODE_1013_length_600_cov_2.237094_NEMO-NC1|full	1618561	59.8
NODE_1013_length_627_cov_3.929091_MEMO115|full	7159	50.8
NODE_1013_length_793_cov_3.572626_MEMO033|full	91347	98.775
NODE_1013_length_803_cov_1.910468_MEMO048|full	42434	43.4
NODE_1013_length_839_cov_2.182415_NEMO-NC3|full	721885	69.1
NODE_1014_length_527_cov_2.515556_MEMO149|full	553	100
NODE_1014_length_530_cov_1.116998_MEMO102|full	43817	745.285.714.285.714
NODE_1014_length_573_cov_0.983871_MEMO143|full	715340	81.4
NODE_1014_length_600_cov_1.653920_NEMO-NC1|full	356	66.55
NODE_1014_length_627_cov_1.130909_MEMO115|full	42434	54.9
NODE_1014_length_652_cov_1.422609_MEMO076-NC|full	2052166	99.1
NODE_1014_length_666_cov_1.741935_MEMO116|full	7160	73.2
NODE_1014_length_678_cov_1.016639_MEMO113|full	2789886	56.5
NODE_1014_length_773_cov_3.455460_NEMO-NC2|full	1802438	26.3
NODE_1014_length_788_cov_0.895921_MEMO112|full	7159	38.3
NODE_1014_length_802_cov_6.594483_MEMO048|full	543	97.9
NODE_1015_length_527_cov_1.153333_MEMO071|full	7176	73.2
NODE_1015_length_558_cov_2.613306_MEMO046-NC|full	356	992.538.461.538.462
NODE_1015_length_697_cov_2.701613_MEMO111|full	7160	57.9
NODE_1015_length_773_cov_2.334770_NEMO-NC2|full	1	49.8
NODE_1015_length_793_cov_2.432961_MEMO033|full	1903409	981.333.333.333.333
NODE_1015_length_802_cov_3.918621_MEMO048|full	2014542	80.9
NODE_1015_length_839_cov_2.005249_NEMO-NC3|full	1301	98.272
NODE_1016_length_527_cov_1.493333_MEMO149|full	53335	988.214.285.714.286
NODE_1016_length_536_cov_2.204793_MEMO009-NC|full	34062	100
NODE_1016_length_586_cov_2.363458_NEMO32|full	44578	472.461.538.461.539
NODE_1016_length_599_cov_4.327586_NEMO-NC1|full	2100421	627.333.333.333.333
NODE_1016_length_666_cov_1.497453_MEMO116|full	7160	53.3
NODE_1016_length_677_cov_0.868333_MEMO113|full	7160	43.8
NODE_1016_length_773_cov_2.235632_NEMO-NC2|full	1783273	660.666.666.666.667
NODE_1016_length_792_cov_2.398601_MEMO033|full	91347	98.9
NODE_1016_length_839_cov_1.904199_NEMO-NC3|full	2	98.308
NODE_1017_length_507_cov_1.402326_MEMO118|full	67767	42.9
NODE_1017_length_515_cov_2.180365_NEMO21|full	42155	48.8
NODE_1017_length_536_cov_0.747277_NEMO31|full	42434	93.3
NODE_1017_length_567_cov_3.997959_MEMO025|full	312017	96.3
NODE_1017_length_578_cov_1.013972_NEMO-NC4|full	2052139	77.9
NODE_1017_length_599_cov_2.659004_NEMO-NC1|full	1224	45.6
NODE_1017_length_697_cov_1.074194_MEMO111|full	300111	77.5
NODE_1017_length_773_cov_2.158046_NEMO-NC2|full	1869212	47.8
NODE_1017_length_787_cov_3.707042_MEMO112|full	7160	79.5
NODE_1017_length_790_cov_2.565217_MEMO033|full	1903409	981.285.714.285.714
NODE_1017_length_802_cov_2.365517_MEMO048|full	91347	99.84
NODE_1017_length_839_cov_1.623360_NEMO-NC3|full	2	99.008
NODE_1018_length_501_cov_1.000000_NEMO13|full	7176	90.9
NODE_1018_length_526_cov_3.218263_MEMO149|full	53335	97.972
NODE_1018_length_570_cov_2.097363_MEMO133|full	7176	77.3
NODE_1018_length_603_cov_5.895437_MEMO050|full	68334	100
NODE_1018_length_651_cov_2.141115_MEMO076-NC|full	1898104	80.2
NODE_1018_length_773_cov_1.925287_NEMO-NC2|full	9606	72.3
NODE_1018_length_802_cov_2.188966_MEMO048|full	68334	98.6
NODE_1018_length_838_cov_6.821288_NEMO-NC3|full	1654919	37.2
NODE_1019_length_507_cov_0.934884_MEMO118|full	7159	47.1
NODE_1019_length_510_cov_2.053118_MEMO134|full	55211	93.2
NODE_1019_length_526_cov_2.149220_MEMO055|full	1286322	82.425
NODE_1019_length_558_cov_1.746362_MEMO046-NC|full	9526	80.6
NODE_1019_length_567_cov_2.489796_MEMO025|full	312017	53.6
NODE_1019_length_626_cov_2.473588_MEMO115|full	53541	670.666.666.666.667
NODE_1019_length_772_cov_2.870504_NEMO-NC2|full	131567	398.333.333.333.333
NODE_1019_length_790_cov_1.098177_MEMO033|full	131567	66.34
NODE_1019_length_801_cov_1.890884_MEMO048|full	1903409	99.35
NODE_1019_length_838_cov_3.289093_NEMO-NC3|full	976	39.05
NODE_101_length_1010_cov_4.251876_MEMO011|full	210632	46.3
NODE_101_length_1015_cov_3.827292_MEMO025|full	312017	22.2
NODE_101_length_1038_cov_1.793965_NEMO-NC4|full	316	90.5
NODE_101_length_1129_cov_9.473384_NEMO31|full	13289	450.857.142.857.143
NODE_101_length_1173_cov_2.684307_MEMO076-NC|full	1	57.65
NODE_101_length_1206_cov_27.850310_MEMO031|full	2486603	42.7
NODE_101_length_1271_cov_3.730318_MEMO141|full	562	83.5
NODE_101_length_1285_cov_17.030629_MEMO115|full	1980410	441.833.333.333.333
NODE_101_length_1432_cov_2.525461_MEMO113|full	7160	45.8
NODE_101_length_1434_cov_6.175387_NEMO-NC2|full	2053638	53.2
NODE_101_length_1450_cov_4.290605_MEMO111|full	217165	43.95
NODE_101_length_1452_cov_4.785455_NEMO-NC3|full	543	99.872
NODE_101_length_1752_cov_5.760000_MEMO033|full	1903409	99.25
NODE_101_length_2002_cov_5.277922_MEMO048|full	546	100
NODE_101_length_4614_cov_62.501433_MEMO129|full	2640676	99.75
NODE_101_length_4761_cov_24.433177_MEMO127|full	953	99.9
NODE_101_length_501_cov_0.886792_NEMO10|full	7176	63.2
NODE_101_length_519_cov_0.891403_MEMO071|10-percent	91347	91
NODE_101_length_538_cov_0.811280_MEMO114-NC|full	1798382	38
NODE_101_length_568_cov_2.790224_MEMO116|10-percent	7157	62.56
NODE_101_length_591_cov_1.538911_MEMO052|full	518105	94.5
NODE_101_length_597_cov_1.232692_MEMO080|full	7176	95.5
NODE_101_length_602_cov_0.900952_NEMO31|10-percent	2026724	46
NODE_101_length_625_cov_1.322993_MEMO020-NC|full	1868281	70.5
NODE_101_length_671_cov_2.210438_NEMO18|full	34615	32.3
NODE_101_length_701_cov_2.501603_NEMO54|full	33213	66.076
NODE_101_length_734_cov_5.552511_MEMO051|full	1220511	92.8
NODE_101_length_749_cov_2.096726_MEMO043|full	166361	37.6
NODE_101_length_860_cov_1.985951_MEMO023|full	518105	48.15
NODE_101_length_867_cov_2.196203_MEMO009-NC|full	1794811	71.15
NODE_101_length_969_cov_2.699552_NEMO16|full	1206794	575.571.428.571.429
NODE_1020_length_529_cov_0.980088_MEMO102|full	43817	77.47
NODE_1020_length_626_cov_2.213115_MEMO115|full	7160	51.2
NODE_1020_length_651_cov_1.583624_MEMO076-NC|full	1883427	48.8
NODE_1020_length_665_cov_1.996599_MEMO116|full	7160	40
NODE_1020_length_772_cov_1.949640_NEMO-NC2|full	2026763	34.3
NODE_1020_length_787_cov_1.092958_MEMO112|full	542832	32.6
NODE_1020_length_789_cov_3.492978_MEMO033|full	91347	99.3
NODE_1020_length_800_cov_5.543568_MEMO048|full	1236	99
NODE_1020_length_838_cov_1.658344_NEMO-NC3|full	679207	98.4
NODE_1021_length_526_cov_1.000000_MEMO055|full	7176	50.6
NODE_1021_length_526_cov_1.318486_MEMO071|full	7160	48.6
NODE_1021_length_526_cov_1.692650_MEMO149|full	1224	979.692.307.692.308
NODE_1021_length_558_cov_1.621622_MEMO046-NC|full	9526	691.625
NODE_1021_length_569_cov_1.810976_MEMO133|full	151549	58.7
NODE_1021_length_571_cov_1.107287_NEMO33|full	43817	94.5
NODE_1021_length_576_cov_1.709419_MEMO128|full	158483	98.55
NODE_1021_length_626_cov_0.601093_MEMO115|full	7159	32.9
NODE_1021_length_651_cov_1.581882_MEMO076-NC|full	131567	33.15
NODE_1021_length_696_cov_3.130856_MEMO111|full	33392	55.95
NODE_1021_length_772_cov_1.925180_NEMO-NC2|full	1891238	52.1
NODE_1021_length_786_cov_2.455571_MEMO112|full	7160	43.6
NODE_1021_length_789_cov_1.710674_MEMO033|full	1903409	97.3
NODE_1021_length_799_cov_3.631579_MEMO048|full	1903409	99.85
NODE_1021_length_838_cov_1.253614_NEMO-NC3|full	561	995.454.545.454.545
NODE_1022_length_521_cov_1.418919_NEMO53|full	518105	51.95
NODE_1022_length_526_cov_0.951002_MEMO055|full	518105	62.15
NODE_1022_length_570_cov_2.705882_NEMO33|full	518105	98
NODE_1022_length_576_cov_1.697395_MEMO128|full	573	97.8
NODE_1022_length_651_cov_1.571429_MEMO076-NC|full	2750080	63.3
NODE_1022_length_665_cov_1.326531_MEMO116|full	7157	57.325
NODE_1022_length_771_cov_4.399135_NEMO-NC2|full	2	41.4
NODE_1022_length_786_cov_1.279267_MEMO112|full	7160	54
NODE_1022_length_789_cov_1.337079_MEMO033|full	1903409	91.4
NODE_1022_length_799_cov_3.300554_MEMO048|full	1903409	97.6
NODE_1022_length_838_cov_1.038108_NEMO-NC3|full	1301	983.142.857.142.857
NODE_1023_length_509_cov_1.428241_MEMO134|full	1903409	798.142.857.142.857
NODE_1023_length_535_cov_1.665939_MEMO009-NC|full	872	97.5
NODE_1023_length_542_cov_1.245161_MEMO023|full	518105	98.05
NODE_1023_length_558_cov_0.943867_MEMO046-NC|full	67824	99.4
NODE_1023_length_566_cov_2.668712_MEMO025|full	312017	28.3
NODE_1023_length_576_cov_1.589178_MEMO128|full	91347	967.666.666.666.667
NODE_1023_length_601_cov_1.160305_MEMO050|full	133901	68.4
NODE_1023_length_651_cov_1.402439_MEMO076-NC|full	470	60.25
NODE_1023_length_665_cov_1.275510_MEMO116|full	7160	58.5
NODE_1023_length_675_cov_2.720736_MEMO113|full	7159	51.8
NODE_1023_length_771_cov_0.995677_NEMO-NC2|full	1716	954.166.666.666.666
NODE_1023_length_788_cov_2.504923_MEMO033|full	573	100
NODE_1024_length_518_cov_0.934240_MEMO054|full	43817	61.05
NODE_1024_length_525_cov_1.944196_MEMO055|full	157538	72.2
NODE_1024_length_528_cov_0.853659_MEMO102|full	7160	46.7
NODE_1024_length_566_cov_1.977505_MEMO025|full	312017	57.7
NODE_1024_length_598_cov_1.285988_NEMO-NC1|full	562	99.96
NODE_1024_length_665_cov_0.957483_MEMO116|full	7159	69.6
NODE_1024_length_675_cov_1.675585_MEMO113|full	518105	61.85
NODE_1024_length_788_cov_2.237693_MEMO033|full	1903409	91.94
NODE_1024_length_799_cov_2.944598_MEMO048|full	1903409	957.875
NODE_1024_length_837_cov_4.553947_NEMO-NC3|full	721885	66
NODE_1025_length_535_cov_1.268559_MEMO009-NC|full	1898104	57
NODE_1025_length_542_cov_0.929032_MEMO023|full	518105	56.1
NODE_1025_length_577_cov_0.928000_NEMO-NC4|full	2631580	100
NODE_1025_length_675_cov_1.488294_MEMO113|full	7160	52.925
NODE_1025_length_770_cov_6.047619_NEMO-NC2|full	1783234	603.666.666.666.667
NODE_1025_length_788_cov_1.549930_MEMO033|full	68334	100
NODE_1025_length_799_cov_2.391967_MEMO048|full	1903409	98.4
NODE_1025_length_837_cov_3.739474_NEMO-NC3|full	721885	43.4
NODE_1026_length_503_cov_2.032864_NEMO54|full	7176	66.7
NODE_1026_length_506_cov_1.083916_MEMO118|full	518105	69.6
NODE_1026_length_513_cov_2.002294_NEMO15|full	7176	87.5
NODE_1026_length_535_cov_1.244541_MEMO009-NC|full	652716	99.4
NODE_1026_length_558_cov_3.453222_MEMO087|full	7176	81.6
NODE_1026_length_566_cov_1.331288_MEMO025|full	312017	48.7
NODE_1026_length_575_cov_1.026104_MEMO128|full	2608351	94.7
NODE_1026_length_577_cov_0.874000_NEMO-NC4|full	1869227	42
NODE_1026_length_650_cov_3.520070_MEMO076-NC|full	34085	676.666.666.666.667
NODE_1026_length_675_cov_1.259197_MEMO113|full	42434	70.5
NODE_1026_length_787_cov_3.805634_MEMO033|full	2759	73.4
NODE_1026_length_799_cov_2.289474_MEMO048|full	1903409	100
NODE_1026_length_837_cov_2.344737_NEMO-NC3|full	154746	78.2
NODE_1027_length_524_cov_4.543624_MEMO149|full	1224	921.210.526.315.789
NODE_1027_length_525_cov_1.361607_MEMO055|full	42434	100
NODE_1027_length_535_cov_1.174672_MEMO009-NC|full	31957	998.153.846.153.846
NODE_1027_length_565_cov_4.473361_MEMO025|full	312017	62
NODE_1027_length_568_cov_2.012220_MEMO133|full	574964	100
NODE_1027_length_599_cov_2.773946_MEMO050|full	91347	898.428.571.428.571
NODE_1027_length_650_cov_2.643979_MEMO076-NC|full	2498109	93.4
NODE_1027_length_675_cov_1.080268_MEMO113|full	7160	62.8
NODE_1027_length_695_cov_3.273463_MEMO111|full	42155	64.7
NODE_1027_length_770_cov_2.904762_NEMO-NC2|full	1592207	46.4
NODE_1027_length_787_cov_3.600000_MEMO033|full	1903409	88.4
NODE_1027_length_799_cov_2.150970_MEMO048|full	1903409	100
NODE_1027_length_837_cov_1.672368_NEMO-NC3|full	562	94.3
NODE_1028_length_535_cov_0.923581_MEMO009-NC|full	2024849	48.3
NODE_1028_length_541_cov_4.411638_MEMO023|full	7176	60.4
NODE_1028_length_557_cov_1.735417_MEMO046-NC|full	2015799	51
NODE_1028_length_565_cov_4.215164_MEMO025|full	312017	51.1
NODE_1028_length_576_cov_2.943888_NEMO-NC4|full	1747	99.375
NODE_1028_length_625_cov_1.532847_MEMO115|full	7160	88.25
NODE_1028_length_664_cov_1.957411_MEMO116|full	7160	86.9
NODE_1028_length_674_cov_6.646566_MEMO113|full	1206794	36.425
NODE_1028_length_695_cov_2.579288_MEMO111|full	7165	50.6
NODE_1028_length_837_cov_1.632895_NEMO-NC3|full	721885	97.4
NODE_1029_length_520_cov_2.130926_NEMO53|full	518105	97.6
NODE_1029_length_535_cov_0.665939_MEMO009-NC|full	42353	62.5
NODE_1029_length_565_cov_3.192623_MEMO025|full	312017	28
NODE_1029_length_625_cov_0.691606_MEMO115|full	43817	68.2
NODE_1029_length_650_cov_1.935428_MEMO076-NC|full	239	40.7
NODE_1029_length_769_cov_3.037572_NEMO-NC2|full	33011	41.5
NODE_1029_length_784_cov_2.082037_MEMO112|full	7160	86.2
NODE_1029_length_787_cov_3.043662_MEMO033|full	91347	995.333.333.333.333
