#queryID	taxID	Avg. % identity
NODE_18_length_3417_cov_43.120958_MEMO031|full	2952036	95.7
NODE_192_length_1148_cov_1.995331_MEMO113|full	2501985	36.3125
NODE_199_length_1183_cov_3.073237_MEMO143|full	2045189	52.7
NODE_19_length_1182_cov_1.851584_NEMO51|full	1680130	30.85
NODE_1_length_10916_cov_125.080358_MEMO145|full	2010273	99.4
NODE_1_length_16074_cov_75.800150_MEMO011|10-percent	2952057	95.5
NODE_1_length_1815_cov_1.998849_MEMO084|full	2651958	99
NODE_1_length_19301_cov_72.427799_MEMO031|full	1511853	40.7
NODE_1_length_2385_cov_16.653813_MEMO034|full	1923012	47.9
NODE_1_length_2455_cov_41.344828_NEMO29|full	11308	97.25
NODE_1_length_2656_cov_21.531214_NEMO07|full	2304516	99.3
NODE_1_length_2758_cov_3.917568_MEMO144|full	2651953	99.6
NODE_1_length_3084_cov_15.137346_MEMO008|full	2651926	99.5545454545454
NODE_1_length_3938_cov_956.313131_NEMO25|full	40053	81.7
NODE_1_length_4140_cov_359.250554_MEMO015|full	2771463	95
NODE_1_length_4935_cov_9340.893989_NEMO21|full	10239	99.55
NODE_1_length_6489_cov_89.025421_MEMO067|full	2651935	96.9
NODE_1_length_7576_cov_418.023603_MEMO117|full	2689367	54.5
NODE_1_length_8654_cov_13.822665_MEMO078|full	66834	99.9
NODE_1_length_9517_cov_433.223093_NEMO27|full	1307797	99.5
NODE_1_length_9705_cov_722.837661_NEMO46|full	2304480	99.7
NODE_1_length_9827_cov_5501.828103_MEMO149|full	2315805	94.6
NODE_20_length_1705_cov_49.724816_MEMO117|full	2689367	38.1
NODE_20_length_3257_cov_1138.288050_MEMO134|full	2805777	97.5
NODE_22_length_1143_cov_4.740150_NEMO24|full	2259782	23.6
NODE_22_length_1180_cov_14.340888_MEMO009-NC|full	427343	99.5
NODE_22_length_1233_cov_319.987024_MEMO015|full	2899249	46.6
NODE_23_length_1783_cov_43.746776_MEMO059|full	39724	94.4
NODE_23_length_3047_cov_39.274747_MEMO031|full	92521	34.5
NODE_24_length_1719_cov_1379.280146_NEMO36|full	2952097	97.8
NODE_24_length_3018_cov_47.309759_MEMO031|full	1511852	46
NODE_26_length_2944_cov_15.470527_MEMO031|full	1511853	44.1
NODE_271_length_1041_cov_2.062241_MEMO143|full	1955172	71.8
NODE_287_length_1017_cov_1.680851_MEMO143|full	2651945	90.9
NODE_28_length_1615_cov_5.121586_NEMO36|full	2746876	52.5
NODE_28_length_3186_cov_5.209392_MEMO048|full	2651939	99.7
NODE_29_length_1140_cov_582.383819_MEMO015|full	2933670	38
NODE_29_length_1933_cov_10.060345_NEMO31|full	1608129	90.3
NODE_2_length_1177_cov_5.175455_NEMO30|full	2794532	24.4
NODE_2_length_1384_cov_4.284621_MEMO034|full	2585031	38.3
NODE_2_length_14228_cov_7342.395732_MEMO011|full	2651957	98.4
NODE_2_length_1836_cov_168.627061_NEMO07|full	2304481	97.6
NODE_2_length_2379_cov_17.798436_MEMO061|full	1608129	95.5
NODE_2_length_2469_cov_48.088211_MEMO067|full	1608131	100
NODE_2_length_4289_cov_9.046534_MEMO009-NC|full	427343	99.4
NODE_2_length_6989_cov_9.481192_MEMO117|full	2059675	64.7
NODE_2_length_7950_cov_77.590626_MEMO059|full	2304515	99.7
NODE_30_length_2800_cov_76.380095_MEMO031|full	130556	34.3
NODE_32_length_2607_cov_40.090514_MEMO031|full	1511853	31.9
NODE_33_length_2605_cov_36.525712_MEMO031|full	2952036	94.3
NODE_34_length_2545_cov_23.250405_MEMO031|full	1511853	40.1
NODE_36_length_2320_cov_18.741418_MEMO031|full	2053981	32.8
NODE_37_length_2243_cov_12.088181_MEMO031|full	1511853	28.3
NODE_39_length_2181_cov_13.568441_MEMO031|full	92521	33.6
NODE_3_length_10159_cov_73.262845_MEMO031|full	1242863	33.3
NODE_3_length_1090_cov_2.865745_MEMO018|full	2010272	99.5
NODE_3_length_2282_cov_4.105669_MEMO091|full	2651953	99.3
NODE_3_length_2325_cov_137.378559_MEMO075|full	2010276	89.6
NODE_3_length_2345_cov_7.158289_MEMO061|full	1608129	99.6
NODE_3_length_2842_cov_186.995660_MEMO015|full	2899249	42.6
NODE_40_length_1367_cov_99.532558_MEMO117|full	2892532	34.4
NODE_41_length_1461_cov_2384.877890_NEMO36|full	1511811	37.5
NODE_41_length_1497_cov_2.383803_NEMO20|full	1955145	34.5
NODE_43_length_1446_cov_2.451424_NEMO36|full	2559587	43.6
NODE_44_length_2061_cov_6.459677_MEMO031|full	2053981	32.8
NODE_452_length_1049_cov_6.242798_MEMO071|full	464095	98.6857142857143
NODE_45_length_1302_cov_9.656327_MEMO117|full	2501985	78.0956521739131
NODE_45_length_1435_cov_3.527982_NEMO36|full	2746876	34
NODE_46_length_1353_cov_2.783699_NEMO20|full	1955145	53.9
NODE_49_length_1012_cov_8.335829_MEMO009-NC|full	427343	99.3
NODE_49_length_1852_cov_47.283944_MEMO031|full	92521	34.6
NODE_4_length_1106_cov_5.557823_NEMO30|full	535600	33.2
NODE_4_length_2330_cov_31.546383_MEMO067|full	11308	97.8181818181818
NODE_4_length_3331_cov_7.282729_MEMO115|full	2689366	65.9
NODE_4_length_3369_cov_9.672539_MEMO117|full	2501985	59.2285714285714
NODE_4_length_5004_cov_1267.123402_MEMO087|full	1922928	95.7
NODE_50_length_2553_cov_9.001212_MEMO048|full	2933366	52.9
NODE_54_length_1752_cov_22.748060_MEMO031|full	1511853	47
NODE_55_length_1336_cov_4.448769_NEMO36|full	1923730	51.8
NODE_55_length_1353_cov_42.482759_MEMO126|full	2936537	35
NODE_56_length_2488_cov_10.613853_MEMO048|full	2010269	46.9
NODE_5_length_2154_cov_23.482427_MEMO061|full	1608129	96.4
NODE_5_length_2692_cov_24.884130_MEMO011|10-percent	39756	48.65
NODE_5_length_2721_cov_581.388048_MEMO015|full	2899249	35.1
NODE_5_length_3836_cov_95.231711_MEMO059|full	2304515	99.5
NODE_5_length_6782_cov_39.664131_MEMO031|full	2952036	98.7
NODE_5_length_7137_cov_1217.239660_MEMO011|full	2952011	98.3
NODE_607_length_1000_cov_10.607801_MEMO048|full	2651939	99.4
NODE_62_length_1575_cov_4.176235_MEMO031|full	1511853	24
NODE_64_length_1550_cov_60.627291_MEMO031|full	2053981	46.8
NODE_65_length_2358_cov_5.326173_MEMO048|full	2010269	25.2
NODE_67_length_1240_cov_2.340499_NEMO36|full	2952016	49.5
NODE_6_length_1177_cov_3.280909_MEMO030|full	2651945	97.4
NODE_6_length_1862_cov_51.287955_NEMO29|full	11308	95.1
NODE_6_length_2973_cov_415.043854_NEMO25|full	40053	83.8
NODE_6_length_4360_cov_7.139622_MEMO143|full	2686045	66.25
NODE_71_length_1278_cov_3.186511_MEMO076-NC|full	1921407	49.25
NODE_75_length_1113_cov_1.451737_NEMO20|full	1923717	44.4
NODE_7_length_1133_cov_5.551136_MEMO030|full	2686045	59.35
NODE_7_length_1355_cov_3.153365_MEMO144|full	2585030	48.05
NODE_7_length_1410_cov_3.345086_MEMO091|full	2651953	100
NODE_7_length_2098_cov_189.201880_MEMO065|full	2010276	90.0333333333333
NODE_7_length_2315_cov_14.160411_NEMO25|10-percent	1853202	77.5
NODE_7_length_2988_cov_95.118516_NEMO36|full	2970720	76.6
NODE_81_length_1370_cov_27.846868_MEMO031|full	1511853	38.95
NODE_8_length_1324_cov_3.117883_MEMO091|full	2651953	100
NODE_8_length_1520_cov_11.151767_MEMO067|full	11308	92.7
NODE_8_length_2083_cov_44.201894_NEMO25|10-percent	40053	73.8
NODE_8_length_2456_cov_148.158050_MEMO117|full	2010267	73.2
NODE_97_length_1002_cov_7.763243_NEMO20|full	2952011	100
NODE_99_length_1224_cov_50.994769_MEMO031|full	92521	41.8
NODE_9_length_1178_cov_6.931880_MEMO072|full	2936537	35.2
NODE_9_length_1584_cov_3.313869_NEMO24|full	2651949	99.2
NODE_9_length_2300_cov_22.654971_MEMO117|full	2010267	55.1
NODE_9_length_2958_cov_10.081916_MEMO116|full	2720899	96.4
NODE_9_length_5477_cov_48.040926_MEMO031|full	92521	39.8
