Accession,Species,Genus,Family,Length,Nuc_Completeness,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
ARM36035.1,Helminthosporium victoriae virus 145S,Alphachrysovirus,Chrysoviridae,1088,complete,RNA-dependent RNA polymerase,China,Bipolaris maydis,,2015-08-15
BAX04559.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae,1310,partial,RNA dependent RNA polymerase,Japan: Saga,Rosellinia necatrix,,1997
APR73428.1,Isaria javanica chrysovirus,Alphachrysovirus,Chrysoviridae,1117,partial,RNA-dependent RNA polymerase,Czech Republic,Cordyceps javanica,,2015-09-24
AJA37498.1,Persea americana chrysovirus,Alphachrysovirus,Chrysoviridae,1093,complete,putative RNA-dependent RNA polymerase,Spain,,,2010
ALW95408.1,Colletotrichum gloeosporioides chrysovirus,Alphachrysovirus,Chrysoviridae,1088,partial,RNA-directed RNA-polymerase,China,Colletotrichum gloeosporioides,,2012
ALD89090.1,Macrophomina phaseolina chrysovirus,Alphachrysovirus,Chrysoviridae,1105,partial,RNA-dependent RNA polymerase,USA,Macrophomina phaseolina,,2013-06-01
AKU48197.1,Brassica campestris chrysovirus,Alphachrysovirus,Chrysoviridae,1146,complete,putative RNA-dependent RNA polymerase,China,,,2014-10-30
AKP45145.1,Fusarium oxysporum chrysovirus 2,Betachrysovirus,Chrysoviridae,1139,complete,RNA-dependent RNA polymerase,Spain,Fusarium oxysporum f. sp. dianthi,,2008
AGZ84312.1,Botryosphaeria dothidea chrysovirus,Betachrysovirus,Chrysoviridae,1116,partial,putative RNA-dependent RNA polymerase,China,Botryosphaeria dothidea,,2013-07-21
BAO20927.1,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,1127,partial,RNA dependent RNA polymerase,Viet Nam,Pyricularia oryzae,,2002-04-12
BAN51775.1,Rosellinia necatrix victorivirus 1,Victorivirus,Totiviridae,842,complete,putative RNA dependent RNA polymerase,Japan:Suzaka,Rosellinia necatrix,,
AGG68771.1,Scheffersomyces segobiensis virus L,Totivirus,Totiviridae,857,complete,RNA-dependent RNA polymerase,USA,Scheffersomyces segobiensis,,2012-06
BAM93353.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae,1310,partial,RNA dependent RNA polymerase,"Japan: Ibaraki, Tsukuba",Rosellinia necatrix,,
CCD33024.1,Aspergillus foetidus slow virus 1,Victorivirus,Totiviridae,839,partial,RNA dependent RNA polymerase,,Aspergillus foetidus,,
AFH09412.1,Xanthophyllomyces dendrorhous virus L1A,Totivirus,Totiviridae,761,partial,RNA-dependent RNA polymerase,,Phaffia rhodozyma,,
AFH09414.1,Xanthophyllomyces dendrorhous virus L1B,Totivirus,Totiviridae,820,partial,RNA-dependent RNA polymerase,,Phaffia rhodozyma,,
AFE83590.1,Raphanus sativus chrysovirus,Alphachrysovirus,Chrysoviridae,1138,partial,putative RNA-dependent RNA polymerase,China,,,2009-10-01
BAL46425.1,Rosellinia necatrix quadrivirus 1,Quadrivirus,Quadriviridae,1310,partial,RNA dependent RNA polymerase,Japan: Saga,Rosellinia necatrix,,1997
ADW08802.1,Fusarium graminearum chrysovirus,Betachrysovirus,Chrysoviridae,1137,partial,RNA-dependent RNA polymerase,South Korea,Fusarium graminearum,,1998
CCC42235.1,Beauveria bassiana victorivirus 1,Victorivirus,Totiviridae,834,complete,RNA directed RNA polymerase,Spain:Fuerteventura,,,
AED99794.1,Trichomonas vaginalis virus 4,Trichomonasvirus,Totiviridae,1481,complete,RNA-dependent RNA polymerase,USA,Trichomonas vaginalis,,2009-11
ADU54123.1,Fusarium graminearum chrysovirus,Betachrysovirus,Chrysoviridae,1137,complete,RNA dependent RNA polymerase,China,Fusarium graminearum,,2005-05
CBY84992.1,Tolypocladium cylindrosporum virus 1,Victorivirus,Totiviridae,840,partial,RNA dependent RNA polymerase,Spain:Castilla y Leon,Tolypocladium cylindrosporum,,
ADQ54106.1,Tuber aestivum virus 1,Totivirus,Totiviridae,795,partial,RNA polymerase,Hungary,Tuber aestivum,,2009
BAJ15133.1,Magnaporthe oryzae chrysovirus 1,Chrysovirus,Chrysoviridae,1127,partial,RNA dependent RNA polymerase,Viet Nam,Pyricularia oryzae,,2002-04-12
ACU11563.1,Anthurium mosaic-associated chrysovirus,Alphachrysovirus,Chrysoviridae,1099,partial,putative RNA-dependent RNA polymerase,USA,,,2008-07
CAX48749.1,Aspergillus fumigatus chrysovirus,Alphachrysovirus,Chrysoviridae,1114,partial,RNA-dependent RNA polymerase,United Kingdom:London,,,2006-01-19
ADG21213.1,Verticillium dahliae chrysovirus 1,Alphachrysovirus,Chrysoviridae,1108,complete,RNA-dependent RNA polymerase,China,Verticillium dahliae,,2010-02
BAI48016.1,Rosellinia necatrix megabirnavirus 1,Megabirnavirus,Megabirnaviridae,1111,partial,RNA-dependent RNA polymerase,"Japan: Ibaraki, Tsukuba",Rosellinia necatrix,,
ACT79255.1,Cryphonectria nitschkei chrysovirus 1,Alphachrysovirus,Chrysoviridae,962,partial,RNA-dependent RNA polymerase,,Cryphonectria nitschkei,,2001
BAF98178.1,Magnaporthe oryzae virus 2,Victorivirus,Totiviridae,830,complete,RNA-dependent RNA polymerase,,Pyricularia oryzae,,
ABQ53134.1,Fusarium oxysporum chrysovirus 1,Alphachrysovirus,Chrysoviridae,858,partial,putative RNA polymerase,Iran,Fusarium oxysporum f. sp. melonis,,
CAK02788.1,Epichloe festucae virus 1,Victorivirus,Totiviridae,827,partial,putative RNA dependent RNA polymerase,Spain:Salamanca,Epichloe festucae,,
BAD60833.1,Magnaporthe oryzae virus 1,Victorivirus,Totiviridae,832,complete,putative RNA dependent RNA polymerase,,,,
CAG77602.1,Amasya cherry disease associated chrysovirus,Alphachrysovirus,Chrysoviridae,1087,partial,putative RNA-dependent RNA polymerase,Turkey,Fungi,,
CAH03664.1,Amasya cherry disease associated chrysovirus,Alphachrysovirus,Chrysoviridae,1087,partial,RNA-dependent RNA polymerase,Italy:Campania,Fungi,plant leaf,
BAC81754.1,Helicobasidium mompa totivirus 1-17,Victorivirus,Totiviridae,845,partial,RNA-dependent RNA polymerase,,,,
AAO14999.1,Coniothyrium minitans RNA virus,Victorivirus,Totiviridae,829,partial,putative RNA-dependent RNA polymerase,,,,
AAM95601.1,Penicillium chrysogenum virus,Alphachrysovirus,Chrysoviridae,1117,partial,RNA-dependent RNA polymerase,,Penicillium chrysogenum,,
AAM68953.1,Helminthosporium victoriae 145S virus,Chrysovirus,Chrysoviridae,1086,partial,RNA-dependent RNA polymerase,,,,
AAL37370.1,Trichomonas vaginalis virus 3,Trichomonasvirus,Totiviridae,681,partial,RNA-dependent RNA polymerase,,,,
AAK11656.1,Gremmeniella abietina RNA virus L1,Victorivirus,Totiviridae,825,partial,putative RNA dependent RNA polymerase,,Gremmeniella abietina,,
AAF29445.1,Trichomonas vaginalis virus 2,Trichomonasvirus,Totiviridae,767,partial,RNA-dependent RNA polymerase,,Trichomonas vaginalis,,
AAD11601.1,Sphaeropsis sapinea RNA virus 1,Victorivirus,Totiviridae,838,complete,RNA dependent RNA polymerase,,,,
AAD11603.1,Sphaeropsis sapinea RNA virus 2,Victorivirus,Totiviridae,825,complete,RNA dependent RNA polymerase,,,,
AAB94791.2,Helminthosporium victoriae virus 190S,Victorivirus,Totiviridae,835,partial,RNA dependent RNA polymerase,,,,
AAB50031.1,Leishmania RNA virus 2,Leishmaniavirus,Totiviridae,777,complete,RNA-dependent RNA polymerase,,Leishmania major,,
AAA62868.1,Trichomonas vaginalis virus 1,Trichomonasvirus,Totiviridae,756,partial,RNA-dependent RNA polymerase,,,,
AAB02146.1,Saccharomyces cerevisiae virus LBCLa,Totivirus,Totiviridae,863,complete,RNA polymerase,,Saccharomyces cerevisiae,,
AAA50508.1,Saccharomyces cerevisiae virus L-A,Totivirus,Totiviridae,731,partial,RNA polymerase,,,,
AAB50024.1,Leishmania RNA virus 1,Leishmaniavirus,Totiviridae,874,partial,RNA dependent RNA polymerase,,,,
