Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
ALD89090.1,Macrophomina phaseolina chrysovirus,Alphachrysovirus,Chrysoviridae,1105,RNA-dependent RNA polymerase,USA,Macrophomina phaseolina,,2013-06-01
ACU11563.1,Anthurium mosaic-associated chrysovirus,Alphachrysovirus,Chrysoviridae,1099,putative RNA-dependent RNA polymerase,USA,,,2008-07
AJA37498.1,Persea americana chrysovirus,Alphachrysovirus,Chrysoviridae,1093,putative RNA-dependent RNA polymerase,Spain,,,2010
AYD75734.1,Zea mays chrysovirus 1,Alphachrysovirus,Chrysoviridae,1090,putative RNA-dependent RNA polymerase,USA,,,1997
QGR26538.1,Chrysothrix chrysovirus 1,Alphachrysovirus,Chrysoviridae,1089,RNA-dependent RNA polymerase,Czech Republic,Penicillium citreosulfuratum,,2014
ARM36035.1,Helminthosporium victoriae virus 145S,Alphachrysovirus,Chrysoviridae,1088,RNA-dependent RNA polymerase,China,Bipolaris maydis,,2015-08-15
CAG77602.1,Amasya cherry disease associated chrysovirus,Alphachrysovirus,Chrysoviridae,1087,putative RNA-dependent RNA polymerase,Turkey,Fungi,,
CAH03664.1,Amasya cherry disease associated chrysovirus,Alphachrysovirus,Chrysoviridae,1087,RNA-dependent RNA polymerase,Italy:Campania,Fungi,plant leaf,
AAM68953.1,Helminthosporium victoriae 145S virus,Chrysovirus,Chrysoviridae,1086,RNA-dependent RNA polymerase,,,,
ACT79255.1,Cryphonectria nitschkei chrysovirus 1,Alphachrysovirus,Chrysoviridae,962,RNA-dependent RNA polymerase,,Cryphonectria nitschkei,,2001
AAB50024.1,Leishmania RNA virus 1,Leishmaniavirus,Totiviridae,874,RNA dependent RNA polymerase,,,,
AAB02146.1,Saccharomyces cerevisiae virus LBCLa,Totivirus,Totiviridae,863,RNA polymerase,,Saccharomyces cerevisiae,,
ABQ53134.1,Fusarium oxysporum chrysovirus 1,Alphachrysovirus,Chrysoviridae,858,putative RNA polymerase,Iran,Fusarium oxysporum f. sp. melonis,,
AGG68771.1,Scheffersomyces segobiensis virus L,Totivirus,Totiviridae,857,RNA-dependent RNA polymerase,USA,Scheffersomyces segobiensis,,2012-06
BAC81754.1,Helicobasidium mompa totivirus 1-17,Victorivirus,Totiviridae,845,RNA-dependent RNA polymerase,,,,
BAN51775.1,Rosellinia necatrix victorivirus 1,Victorivirus,Totiviridae,842,putative RNA dependent RNA polymerase,Japan:Suzaka,Rosellinia necatrix,,
CBY84992.1,Tolypocladium cylindrosporum virus 1,Victorivirus,Totiviridae,840,RNA dependent RNA polymerase,Spain:Castilla y Leon,Tolypocladium cylindrosporum,,
CCD33024.1,Aspergillus foetidus slow virus 1,Victorivirus,Totiviridae,839,RNA dependent RNA polymerase,,Aspergillus foetidus,,
AAD11601.1,Sphaeropsis sapinea RNA virus 1,Victorivirus,Totiviridae,838,RNA dependent RNA polymerase,,,,
AAB94791.2,Helminthosporium victoriae virus 190S,Victorivirus,Totiviridae,835,RNA dependent RNA polymerase,,,,
CCC42235.1,Beauveria bassiana victorivirus 1,Victorivirus,Totiviridae,834,RNA directed RNA polymerase,Spain:Fuerteventura,,,
BAD60833.1,Magnaporthe oryzae virus 1,Victorivirus,Totiviridae,832,putative RNA dependent RNA polymerase,,,,
BAF98178.1,Magnaporthe oryzae virus 2,Victorivirus,Totiviridae,830,RNA-dependent RNA polymerase,,Pyricularia oryzae,,
AAO14999.1,Coniothyrium minitans RNA virus,Victorivirus,Totiviridae,829,putative RNA-dependent RNA polymerase,,,,
CAK02788.1,Epichloe festucae virus 1,Victorivirus,Totiviridae,827,putative RNA dependent RNA polymerase,Spain:Salamanca,Epichloe festucae,,
AAK11656.1,Gremmeniella abietina RNA virus L1,Victorivirus,Totiviridae,825,putative RNA dependent RNA polymerase,,Gremmeniella abietina,,
AAD11603.1,Sphaeropsis sapinea RNA virus 2,Victorivirus,Totiviridae,825,RNA dependent RNA polymerase,,,,
AFH09414.1,Xanthophyllomyces dendrorhous virus L1B,Totivirus,Totiviridae,820,RNA-dependent RNA polymerase,,Phaffia rhodozyma,,
ADQ54106.1,Tuber aestivum virus 1,Totivirus,Totiviridae,795,RNA polymerase,Hungary,Tuber aestivum,,2009
AAB50031.1,Leishmania RNA virus 2,Leishmaniavirus,Totiviridae,777,RNA-dependent RNA polymerase,,Leishmania major,,
AAF29445.1,Trichomonas vaginalis virus 2,Trichomonasvirus,Totiviridae,767,RNA-dependent RNA polymerase,,Trichomonas vaginalis,,
AFH09412.1,Xanthophyllomyces dendrorhous virus L1A,Totivirus,Totiviridae,761,RNA-dependent RNA polymerase,,Phaffia rhodozyma,,
AAA62868.1,Trichomonas vaginalis virus 1,Trichomonasvirus,Totiviridae,756,RNA-dependent RNA polymerase,,,,
AAA50508.1,Saccharomyces cerevisiae virus L-A,Totivirus,Totiviridae,731,RNA polymerase,,,,
AAL37370.1,Trichomonas vaginalis virus 3,Trichomonasvirus,Totiviridae,681,RNA-dependent RNA polymerase,,,,
