Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_089669.1,Naples phlebovirus,Phlebovirus,Phenuiviridae,2095,RNA-dependant RNA polymerase,,,,
YP_009666272.1,Pidgey pidchovirus,Pidchovirus,Phenuiviridae,2267,RNA-dependent RNA polymerase,USA,Choristoneura rosaceana,,2016-08-16
YP_009449440.1,Rice hoja blanca tenuivirus,Tenuivirus,Phenuiviridae,2918,RNA-dependent RNA polymerase,Colombia,Oryza sativa,,2017
NP_058528.1,Rice grassy stunt tenuivirus,Tenuivirus,Phenuiviridae,2925,RNA polymerase,,,,
NP_620522.1,Rice stripe tenuivirus,Tenuivirus,Phenuiviridae,2919,RNA Polymerase,,,,
YP_009551639.1,Kaisodi uukuvirus,Uukuvirus,Phenuiviridae,2121,RNA-dependent RNA polymerase,India:Karnataka,Haemaphysalis spinigera,,1957
YP_009449450.1,Kabuto mountain uukuvirus,Uukuvirus,Phenuiviridae,2107,RNA-dependent RNA polymerase,Japan: Hyogo,Haemaphysalis flava,,2009
NP_941973.1,Uukuniemi uukuvirus,Uukuvirus,Phenuiviridae,2103,RNA polymerase,,,,
YP_009304989.1,Shrimp wenrivirus,Wenrivirus,Phenuiviridae,2051,RNA-dependent RNA polymerase,China,Penaeus monodon,,2013
QHA33858.1,Narangue mobuvirus,Mobuvirus,Phenuiviridae,2411,RdRp,Colombia,Mansonia titillans,,2016-04
